n_lines,amp,amp_err,wave_center,wave_center_err,sigma,sigma_err,fitted_wave_min,fitted_wave_max,apert_name,flux_W_m2,flux_err_W_m2,line_name,measured_redshift,note
1,1.53E-17,2.29E-18,492.020719,0.031612,0.183168,0.031612,482,516,A,7.02E-18,1.60E-18,Hb 4861,,
2,7.74E-17,4.13E-18,498.1518576,0.003441032,0.047503619,0.002281516,496,506,A,9.22E-18,6.62E-19,Fe II 4923 doublet,,
3,1.34E-16,5.61E-18,498.4765404,0.001668216,0.047503619,0,496,506,A,1.60E-17,6.69E-19,Fe II 4923 doublet,,fixed sigma - doublet
4,3.73E-17,2.27E-18,506.810236,0.013019,0.185096,0.013019,500,509,A,1.73E-17,1.61E-18,[O III] 5007,,
5,2.70E-18,4.41E-19,662.8338,0.026284,0.139226,0.026284,660,700,A,9.41E-19,2.35E-19,[N II] 6548,,
6,6.94E-17,4.46E-19,664.334002,0.001008,0.135829,0.001008,660,700,A,2.36E-17,2.32E-19,Ha 6563,0.012270661,
7,1.29E-17,4.53E-19,666.437439,0.005365,0.131959,0.005365,660,700,A,4.25E-18,2.29E-19,[N II] 6583,,
8,1.31E-17,4.48E-19,679.913006,0.00532,0.134878,0.00532,660,700,A,4.43E-18,2.31E-19,[S II] 6716,,
9,9.33E-18,4.39E-19,681.363189,0.007636,0.140602,0.007636,660,700,A,3.29E-18,2.36E-19,[S II] 6730,,
1,3.28E-17,4.25E-18,492.072477,0.020755,0.138665,0.020755,480,565,3,1.14E-17,2.26E-18,Hb 4861,,
2,3.34E-17,4.26E-18,501.952277,0.02033,0.137966,0.02033,480,565,3,1.15E-17,2.25E-18,[O III] 4959,,
3,1.04E-16,4.25E-18,506.809236,0.00654,0.138858,0.00654,480,565,3,3.62E-17,2.26E-18,[O III] 5007,,
4,4.24E-18,2.49E-19,594.77321,0.009791,0.144626,0.009791,565,600,3,1.54E-18,1.38E-19,He I 5876,,
5,5.90E-19,5.03E-20,637.747282,0.01527,0.155264,0.01527,600,740,3,2.30E-19,2.99E-20,[O I] 6300,,
6,6.94E-19,5.52E-20,638.973126,0.011837,0.128799,0.011837,600,740,3,2.24E-19,2.72E-20,[S III] 6312,,
7,5.86E-18,5.33E-20,662.844865,0.001453,0.138232,0.001453,600,740,3,2.03E-18,2.82E-20,[N II] 6548,,
8,1.66E-16,5.25E-20,664.339036,0.000052,0.142318,0.000052,600,740,3,5.94E-17,2.86E-20,Ha 6563,0.012278331,
9,1.73E-17,5.35E-20,666.428223,0.00049,0.137367,0.00049,600,740,3,5.96E-18,2.81E-20,[N II] 6583,,
10,1.82E-18,5.16E-20,676.022608,0.004831,0.147513,0.004831,600,740,3,6.73E-19,2.91E-20,He I 6678,,
11,1.22E-17,5.38E-20,679.886678,0.000692,0.135743,0.000692,600,740,3,4.14E-18,2.80E-20,[S II] 6716,,
12,8.78E-18,5.34E-20,681.342163,0.000967,0.137733,0.000967,600,740,3,3.03E-18,2.82E-20,[S II] 6730,,
13,9.70E-19,5.40E-20,715.19275,0.008664,0.134818,0.008664,600,740,3,3.28E-19,2.79E-20,He I 7065,,
14,5.24E-18,5.24E-20,722.352507,0.001651,0.14284,0.001651,600,740,3,1.88E-18,2.87E-20,[Ar III] 7135,,
15,5.15E-19,5.49E-20,737.122077,0.013898,0.112969,0.013898,735,800,3,1.46E-19,2.37E-20,He I 7281,,
16,9.61E-19,4.44E-20,740.986334,0.009197,0.172129,0.009197,735,800,3,4.14E-19,2.93E-20,[O II] 7319,,
17,8.19E-19,4.75E-20,742.014691,0.010094,0.150636,0.010094,735,800,3,3.09E-19,2.74E-20,[O II] 7330,,
18,1.02E-18,2.97E-20,784.621154,0.004664,0.138993,0.004664,770,794,3,3.56E-19,1.58E-20,[Ar III] 7751,,
19,2.05E-19,3.89E-20,791.220079,0.017685,0.080916,0.01772,770,794,3,4.16E-20,1.21E-20,He I 7816,,
1,2.20E-18,1.99E-19,492.055964,0.012322,0.118265,0.012322,482,514,4,6.53E-19,9.00E-20,[N II] 6548,,
2,3.01E-18,2.54E-19,501.892485,0.007094,0.073419,0.007183,482,514,4,5.54E-19,7.15E-20,Hb 4861,,
3,8.74E-18,1.83E-19,506.805625,0.003372,0.139449,0.003372,482,514,4,3.06E-18,9.78E-20,[O III] 4959,,
4,2.57E-19,4.33E-20,594.716485,0.047004,0.24124,0.047004,580,600,4,1.55E-19,4.00E-20,[O III] 5007,,
5,4.66E-19,4.67E-20,662.806369,0.014073,0.121645,0.014073,660,700,4,1.42E-19,2.17E-20,He I 5876,,
6,1.05E-17,4.40E-20,664.328078,0.000664,0.136977,0.000664,660,700,4,3.60E-18,2.31E-20,Ha 6563,0.012261604,
7,1.17E-18,4.55E-20,666.410875,0.005762,0.128098,0.005762,660,700,4,3.75E-19,2.23E-20,[N II] 6583,,
8,1.10E-18,4.55E-20,679.883988,0.006116,0.128227,0.006116,660,700,4,3.54E-19,2.23E-20,[S II] 6716,,
9,7.78E-19,4.48E-20,681.32501,0.008773,0.131848,0.008773,660,700,4,2.57E-19,2.26E-20,[S II] 6730,,
10,2.32E-19,3.69E-20,722.353013,0.025002,0.136169,0.025002,710,760,4,7.91E-20,1.92E-20,[Ar III] 7135,,
11,3.15E-19,2.78E-15,791.19804,75.971678,0.018819,49.489167,765,800,4,1.49E-20,1.37E-16,He I 7816,,
1,6.69E-18,2.20E-19,664.442708,0.00302,0.079759,0.003027,650,700,6,1.34E-18,6.71E-20,Ha 6563,0.012436301,
